data;

set B := 1 2 3 4 5 6 7 8 9 10 11 12;
set P := Red Blue;

param k       := 3;
param epsilon := 0.10;
param fav     := Red;

param pop :=
  1 850    2 920    3 780    4 1100
  5 950    6 870    7 1050   8 800
  9 1000  10 930   11 760   12 990;

/* votes[block, party] */
param votes :
        Red   Blue :=
  1     420   380
  2     300   580
  3     510   240
  4     200   860
  5     600   310
  6     390   450
  7     480   540
  8     350   420
  9     700   270
 10     410   490
 11     620   120
 12     480   480;

/* Adjacency matrix for a 3x4 grid.
   Block i is adjacent to block j if they share an edge. */
param adj :
      1  2  3  4  5  6  7  8  9 10 11 12 :=
  1   0  1  0  0  1  0  0  0  0  0  0  0
  2   1  0  1  0  0  1  0  0  0  0  0  0
  3   0  1  0  1  0  0  1  0  0  0  0  0
  4   0  0  1  0  0  0  0  1  0  0  0  0
  5   1  0  0  0  0  1  0  0  1  0  0  0
  6   0  1  0  0  1  0  1  0  0  1  0  0
  7   0  0  1  0  0  1  0  1  0  0  1  0
  8   0  0  0  1  0  0  1  0  0  0  0  1
  9   0  0  0  0  1  0  0  0  0  1  0  0
 10   0  0  0  0  0  1  0  0  1  0  1  0
 11   0  0  0  0  0  0  1  0  0  1  0  1
 12   0  0  0  0  0  0  0  1  0  0  1  0;

end;
